"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8074893951416","34.7242393493652","35.0141983032227","34.1376914978027","34.5283699035645","34.0411415100098","40.5605697631836","40.1334609985352","41.0708694458008","40.9248199462891","40.4867286682129","41.526481628418","43.2311782836914","45.4898414611816","24.33424949646","25.044620513916","23.7626705169678","23.7760105133057","","","","","","","","19.9932111337407","",
"Africa Eastern and Southern","AFE","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","1.6085000038147","1.60679996013641","1.62805998325348","1.63127994537353","1.68254005908966","1.71178996562958","1.74167001247406","1.76804995536804","1.81728005409241","1.8471200466156","1.89968001842499","1.95332002639771","2.04667997360229","2.08435988426208","2.13316988945007","2.19038009643555","2.27017998695373","2.34637999534607","2.43295001983643","2.56277990341186","2.53165006637573","2.65001010894775","2.78540992736816","2.90673995018005","3.16424989700317","3.18582010269165","3.21984004974365","3.26051998138428","3.33916997909546","3.33978009223938","3.50468993186951","3.73327994346619","3.99998998641968","4.21983003616333","4.51276016235352","4.7675199508667","5.08440017700195","5.2108302116394","5.50124979019165","5.97102022171021","6.4226598739624","6.66951990127563","7.10451984405518","7.3339900970459","7.40940999984741","7.53871011734009","7.71562004089355","7.9309401512146","8.0177001953125","7.97016000747681","8.05679988861084","8.02046966552734","","","","",
"Afghanistan","AFG","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","0.225950002670288","","0.257420003414154","0.345169991254807","0.285959988832474","0.312909990549088","0.353989988565445","0.582849979400635","0.67918998003006","0.591929972171783","","","","","","","0.607609987258911","","","","1.35643994808197","","","","","","","","","","","","","0.571370005607605","0.578159987926483","","","","","1.4480299949646","","1.8252899646759","","","3.49629998207092","","","","5.02065992355347","","5.93654012680054","","","","","",
"Africa Western and Central","AFW","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","0.251210004091263","0.250270009040833","0.261339992284775","0.281179994344711","0.30443999171257","0.328759998083115","0.373100012540817","0.456140011548996","0.521600008010864","0.651629984378815","0.723079979419708","0.857179999351501","0.932650029659271","0.977199971675873","1.02174997329712","1.1191600561142","1.19643998146057","1.23910999298096","1.23675000667572","1.26690995693207","1.39961004257202","1.54205000400543","1.70717000961304","1.88848996162415","2.09049010276794","2.2858099937439","2.52168011665344","2.7781400680542","2.99839997291565","3.24513006210327","3.72952008247375","4.06348991394043","4.42965984344482","4.76814985275269","4.98808002471924","5.32982015609741","5.376540184021","5.55767011642456","5.72002983093262","5.89408016204834","6.08655977249146","6.21005010604858","6.53436994552612","6.99527978897095","7.21031999588013","7.38692998886108","7.29552984237671","7.38944005966187","7.66539001464844","7.9415397644043","8.16154003143311","8.47974014282227","","","","",
"Angola","AGO","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.192969992756844","","","","","","","","0.500859975814819","0.429980009794235","","","0.620840013027191","","","","","","","","","3.51201096975863","","8.24013760158027","","7.78538127997885","8.91518937968949","","","","","","","9.93361649716081","9.89837613864088","",
"Albania","ALB","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","8.64058017730713","9.29934024810791","","","","","","4.9021201133728","","","4.88315010070801","","5.47164011001587","5.98656988143921","6.29605007171631","6.51122999191284","6.86218023300171","7.48662996292114","7.93944978713989","8.34232044219971","8.97181034088135","9.5284595489502","11.1502599716187","11.0404996871948","10.4641199111938","11.5983200073242","14.0885601043701","14.933349609375","16.9277000427246","17.5028095245361","17.9192295074463","19.5883502960205","19.7989501953125","23.2279891967773","26.6828994750977","30.5197200775146","35.5193481445312","36.394588470459","38.1325798034668","49.6336517333984","56.2686387324156","66.9087611209798","73.0355050914662","75.6627224362502","71.7403206883066","69.4634217500182","69.6489676008613","67.0805071747503","73.0472843844399","74.0293151569234","72.8731019839685","74.8408843267243","77.0315270509882","95.3502197265625","",
"Andorra","AND","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.48873996734619","8.75440979003906","8.60501956939697","8.79675960540771","11.0305500030518","","13.0952396392822","","","","16.2323561346363","17.9807146908678","16.4359861591695","17.2023809523809","18.0109157064888","17.5621028307337","16.9500531349628","16.7792207792208","15.7946692991116","16.7230546157564","35.3111432706223","68.0038204393505","70.9377901578459","",
"Arab World","ARB","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","5.75872993469238","4.03018999099731","4.14810991287231","4.35523986816406","4.62112998962402","4.97749996185303","5.43971014022827","5.6929497718811","5.46173000335693","5.67527008056641","5.98339986801147","6.42320013046265","6.73874998092651","6.9546799659729","7.20236015319824","7.35359001159668","7.49849987030029","7.58575010299683","11.3736295700073","8.04726982116699","8.3142204284668","8.27600955963135","8.85132026672363","9.70905017852783","10.7930297851562","11.5552997589111","12.4469203948975","13.3372898101807","14.4065399169922","15.7884397506714","16.152530670166","16.8689403533936","17.8973999023438","18.3915195465088","19.3647308349609","20.6458606719971","21.5399894714356","21.7241897583008","23.4479999542236","24.3333301544189","25.1151504516602","24.71217918396","25.9803504943848","27.5376396179199","28.9061603546143","30.6191902160644","31.5670204162598","32.0461616516113","33.5179100036621","33.8893508911133","34.361141204834","34.0556983947754","34.4974098205566","34.7579307556152","36.6406402587891","",
"United Arab Emirates","ARE","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1665574458046","58.2194090637889","65.9918390965991","62.5806789240484","68.0788419766495","70.1777672820254","72.5657349329746","",
"Argentina","ARG","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","11.4121704101562","13.8403100967407","15.2449197769165","17.9020309448242","20.6349201202393","25.7579803466797","25.9057598114014","23.0116195678711","21.377950668335","22.0225696563721","21.921350479126","24.6839694976807","25.4109802246094","26.8676109313965","30.8935108184814","37.8308296203613","40.475700378418","42.8353385925293","","","","","","","","","","","","62.1912689208984","66.4794921875","70.4857711791992","74.473518371582","77.6982116699219","76.4355621337891","75.888542175293","81.5669479370117","81.2809906005859","83.6746520996094","85.9998397827148","89.7175971152741","94.9294127326397","96.5571722257775","97.9183133411097","101.271162698543","105.026185084511","109.302620368398","112.844351996315","114.838632080209","120.836338094672","127.155375687645","140.306539721812","140.067861599573","140.19173357234","","",
